City,Lecture_Category,Title,Recruitment_period,Education_period,Institution,Address,Quota,State,Register,Detail,Post
경기도 안양시,인터넷방,인터넷방,수시모집,추후협의,범계동행정복지센터,범계동행정복지센터 1층,"0/2
(0/0)",모집중,방문접수,https://www.anyang.go.kr/reserve/eduLctreWebView.do?pageUnit=10&pageIndex=1&searchCnd=all&key=1376&searchUseAt=Y&eduLctreNo=925,Y
경기도 안양시,회의실 개방,주민대화방,수시모집,추후협의,범계동행정복지센터,범계동 행정복지센터 1층,"0/8
(0/0)",모집중,방문접수,https://www.anyang.go.kr/reserve/eduLctreWebView.do?pageUnit=10&pageIndex=1&searchCnd=all&key=1376&searchUseAt=Y&eduLctreNo=923,
경기도 안양시,취업지원프로그램,(중장년 취업학교) 여성 멀티사무원 실무,2025-05-13~2025-05-22,2025-05-26~2025-05-30,일자리센터,안양시 일자리센터교육장(시청본관 2층),"4/15
(0/0)",모집중,수강신청,https://www.anyang.go.kr/reserve/eduLctreWebView.do?pageUnit=10&pageIndex=1&searchCnd=all&key=1376&searchUseAt=Y&eduLctreNo=5642,
경기도 안양시,생애설계교육프로그램,행복한 신사의 밥상,2025-05-12~2025-05-23,2025-05-27~2025-07-22,베이비부머 지원센터,안양여성인력개발센터 YWCA 6층 푸드1실,"0/24
(0/10)",모집중,전화접수 방문접수,https://www.anyang.go.kr/reserve/eduLctreWebView.do?pageUnit=10&pageIndex=1&searchCnd=all&key=1376&searchUseAt=Y&eduLctreNo=5675,
경기도 안양시,생애설계교육프로그램,신중년을 위한 신직업찾기 1기,2025-05-12~2025-05-23,2025-05-29~2025-05-29,베이비부머 지원센터,본관 5층 베이비부머교육장,"0/20
(0/10)",모집중,전화접수 방문접수,https://www.anyang.go.kr/reserve/eduLctreWebView.do?pageUnit=10&pageIndex=1&searchCnd=all&key=1376&searchUseAt=Y&eduLctreNo=5656,
