Id,Title,Recruitment_period,Education_period,Quota,Institution,Address,Category,Detail
1,10~14차 요가 및 필라테스(매주 월요일 11:00~11:50),2025년 06월 10일 10시 00분 ~ 2025년 06월 13일 10시 00분,2025-06-16 ~ 2025-07-14,15/15명,상주시보건소,경북 상주시 남문1길 5 (남성동) 2층,상주시,https://www.sangju.go.kr/reserve/reservation/detail.tc?pageNo=11881&mn=15375&pageIndex=1&searchTrgtClsfCd=RMS004001&searchFcltNo=&cyclNo=100216&rcptNo=&searchUpClsfCd=&searchRgnClsfCd=&searchKeyword=&orderBy=
2,상주시립도서관 작가와의만남(6월) 성석제 작가,2025년 06월 11일 09시 00분 ~ 2025년 06월 18일 18시 00분,2025-06-22 ~ 2025-06-22,23/60명,상주시립도서관(생활문화센터),경북 상주시 복룡2길 22 (복룡동) 상주시립도서관,상주시,https://www.sangju.go.kr/reserve/reservation/detail.tc?pageNo=11881&mn=15375&pageIndex=1&searchTrgtClsfCd=RMS004001&searchFcltNo=&cyclNo=100109&rcptNo=&searchUpClsfCd=&searchRgnClsfCd=&searchKeyword=&orderBy=
3,2025년 상주박물관 지호락 인문학콘서트 4회 (예술가들이 사랑한 술),2025년 06월 09일 10시 00분 ~ 2025년 06월 17일 23시 50분,2025-06-25 ~ 2025-06-25,38/40명,상주박물관,경북 상주시 복룡2길 22 (복룡동),상주시,https://www.sangju.go.kr/reserve/reservation/detail.tc?pageNo=11881&mn=15375&pageIndex=1&searchTrgtClsfCd=RMS004001&searchFcltNo=&cyclNo=100108&rcptNo=&searchUpClsfCd=&searchRgnClsfCd=&searchKeyword=&orderBy=
4,2025년 상주박물관 지호락 인문학콘서트 3회 (588년 만에 깨어난 장영실 자격루의 두뇌 주전(籌箭)),2025년 06월 09일 10시 00분 ~ 2025년 06월 17일 23시 50분,2025-06-18 ~ 2025-06-18,28/30명,상주박물관,경북 상주시 아리랑고개1길 46 (계산동),상주시,https://www.sangju.go.kr/reserve/reservation/detail.tc?pageNo=11881&mn=15375&pageIndex=1&searchTrgtClsfCd=RMS004001&searchFcltNo=&cyclNo=100107&rcptNo=&searchUpClsfCd=&searchRgnClsfCd=&searchKeyword=&orderBy=
5,GTQ(포토샵) 2급 자격증반 - 2025년 7월 저녁반,2025년 06월 02일 09시 00분 ~ 2025년 06월 30일 18시 00분,2025-07-01 ~ 2025-07-24,10/10명,상주시 정보화 교육장,"경북 상주시 상산로 223 (남성동, 상주시청) 제2별관 2층",상주시,https://www.sangju.go.kr/reserve/reservation/detail.tc?pageNo=11881&mn=15375&pageIndex=1&searchTrgtClsfCd=RMS004001&searchFcltNo=&cyclNo=100075&rcptNo=&searchUpClsfCd=&searchRgnClsfCd=&searchKeyword=&orderBy=
6,스마트폰 활용 심화반 - 2025년 7월 오후반,2025년 06월 02일 09시 00분 ~ 2025년 06월 30일 18시 00분,2025-07-01 ~ 2025-07-24,10/10명,상주시 정보화 교육장,"경북 상주시 상산로 223 (남성동, 상주시청) 제2별관 2층",상주시,https://www.sangju.go.kr/reserve/reservation/detail.tc?pageNo=11881&mn=15375&pageIndex=1&searchTrgtClsfCd=RMS004001&searchFcltNo=&cyclNo=100074&rcptNo=&searchUpClsfCd=&searchRgnClsfCd=&searchKeyword=&orderBy=
7,씽크와이즈를 활용한 마인드맵 및 문서제작 - 2025년 7월 오전반,2025년 06월 02일 09시 00분 ~ 2025년 06월 30일 18시 00분,2025-06-30 ~ 2025-07-03,13/30명,상주시 정보화 교육장,"경북 상주시 상산로 223 (남성동, 상주시청) 제2별관 2층",상주시,https://www.sangju.go.kr/reserve/reservation/detail.tc?pageNo=11881&mn=15375&pageIndex=1&searchTrgtClsfCd=RMS004001&searchFcltNo=&cyclNo=100073&rcptNo=&searchUpClsfCd=&searchRgnClsfCd=&searchKeyword=&orderBy=
8,컴퓨터기초 - 2025년 7월 오전반,2025년 06월 02일 09시 00분 ~ 2025년 06월 30일 18시 00분,2025-07-07 ~ 2025-07-17,19/30명,상주시 정보화 교육장,"경북 상주시 상산로 223 (남성동, 상주시청) 제2별관 2층",상주시,https://www.sangju.go.kr/reserve/reservation/detail.tc?pageNo=11881&mn=15375&pageIndex=2&searchTrgtClsfCd=RMS004001&searchFcltNo=&cyclNo=100072&rcptNo=&searchUpClsfCd=&searchRgnClsfCd=&searchKeyword=&orderBy=
9,한글 - 2025년 7월 오전반,2025년 06월 02일 09시 00분 ~ 2025년 06월 30일 18시 00분,2025-07-21 ~ 2025-07-31,23/30명,상주시 정보화 교육장,"경북 상주시 상산로 223 (남성동, 상주시청) 제2별관 2층",상주시,https://www.sangju.go.kr/reserve/reservation/detail.tc?pageNo=11881&mn=15375&pageIndex=2&searchTrgtClsfCd=RMS004001&searchFcltNo=&cyclNo=100071&rcptNo=&searchUpClsfCd=&searchRgnClsfCd=&searchKeyword=&orderBy=
